Word,Frequency_fake,Frequency_real
"'trump',",36512,21147
"'donald',",7584,3926
"'presid',",7514,9559
"'peopl',",7017,2785
"'said',",6440,22084
"'like',",5892,1886
"'one',",5837,2723
"'would',",5707,9038
"'say',",5351,4111
"'imag',",5113,80
"'republican',",4984,8989
"'via',",4826,96
"'go',",4732,1979
"'get',",4614,1662
"'time',",4447,2295
"'even',",4430,1094
"'white',",4264,4491
"'state',",4205,8535
"'make',",4014,2243
"'know',",3746,682
"'american',",3680,2356
"'elect',",3646,3201
"'obama',",3591,1854
"'hous',",3549,8580
"'call',",3409,2563
"'realdonaldtrump',",3381,191
"'us',",3369,14331
"'want',",3310,1800
"'also',",3296,3843
"'right',",3209,1258
"'think',",3144,1299
"'support',",3075,2489
"'news',",2990,1391
"'vote',",2990,2970
"'campaign',",2987,3106
"'clinton',",2971,870
"'thing',",2887,608
"'year',",2869,4173
"'new',",2814,3985
"'take',",2740,1854
"'countri',",2703,2240
"'report',",2695,3652
"'tweet',",2690,706
"'video',",2557,140
"'could',",2549,3622
"'nation',",2546,2846
"'hillari',",2540,402
"'fact',",2536,291
"'way',",2525,1239
"'tri',",2495,1093
"'russia',",2446,3192
"'day',",2427,1570
"'use',",2411,1990
"'come',",2385,1253
"'show',",2365,975
"'work',",2305,2662
"'attack',",2257,1040
"'democrat',",2247,5860
"'look',",2195,997
"'first',",2168,2121
"'need',",2147,1836
"'america',",2143,670
"'claim',",2139,515
"'back',",2127,1725
"'twitter',",2105,992
"'ask',",2062,1804
"'mani',",2056,1432
"'women',",2044,469
"'made',",2038,1500
"'offic',",1996,2309
"'media',",1959,877
"'investig',",1940,2677
"'actual',",1939,199
"'well',",1927,957
"'may',",1927,1833
"'much',",1864,830
"'see',",1857,1010
"'unit',",1840,3734
"'senat',",1831,8008
"'januari',",1815,659
"'realli',",1800,365
"'russian',",1799,2415
"'point',",1797,653
"'lie',",1786,191
"'person',",1739,753
"'administr',",1705,3915
"'world',",1687,782
"'million',",1685,1625
"'told',",1669,3273
"'never',",1663,464
"'bill',",1662,4528
"'man',",1655,237
"'care',",1649,671
"'press',",1615,576
"'last',",1613,2808
"'still',",1609,1025
"'talk',",1594,1265
"'former',",1594,2930
"'job',",1581,1069
"'someth',",1571,371
"'help',",1567,1781
"'continu',",1563,1025
"'sinc',",1562,1468
"'everi',",1519,380
"'seem',",1516,210
"'polit',",1510,1718
"'put',",1507,906
"'believ',",1479,770
"'two',",1469,2373
"'give',",1463,842
"'good',",1460,710
"'got',",1451,290
"'parti',",1449,1397
"'gop',",1439,26
"'govern',",1435,3476
"'happen',",1394,402
"'black',",1386,145
"'cours',",1372,184
"'word',",1370,215
"'fox',",1368,276
"'win',",1367,730
"'voter',",1365,709
"'plan',",1365,3271
"'let',",1356,392
"'law',",1352,2811
"'includ',",1339,3174
"'mean',",1336,590
"'ever',",1332,241
"'order',",1300,1737
"'live',",1299,350
"'offici',",1297,3871
"'tell',",1290,383
"'post',",1274,970
"'j',",1269,22
"'though',",1266,386
"'question',",1249,1198
"'tax',",1240,6331
"'anoth',",1234,835
"'keep',",1229,754
"'noth',",1229,276
"'racist',",1227,21
"'conserv',",1218,1209
"'act',",1211,1409
"'respons',",1210,873
"'watch',",1201,195
"'stop',",1198,580
"'februari',",1197,309
"'inform',",1196,1158
"'pay',",1196,778
"'public',",1194,1403
"'fire',",1191,957
"'went',",1191,205
"'turn',",1177,419
"'accord',",1171,1662
"'presidenti',",1169,1387
"'week',",1169,2602
"'busi',",1161,1682
"'secur',",1160,2452
"'run',",1128,709
"'march',",1125,648
"'statement',",1110,2179
"'reason',",1110,376
"'part',",1106,1361
"'start',",1104,643
"'featur',",1102,76
"'comey',",1097,1339
"'hate',",1084,77
"'leader',",1083,2347
"'meet',",1083,2644
"'issu',",1081,2260
"'intellig',",1079,1539
"'anyth',",1077,224
"'famili',",1070,565
"'sure',",1069,245
"['trump',",1067,1062
"'far',",1064,564
"'alreadi',",1061,704
"'gener',",1059,1891
"'chang',",1058,1811
"'lot',",1048,374
"'took',",1045,805
"'fake',",1038,177
"'end',",1033,1450
"'stori',",1033,302
"'decemb',",1031,267
"'interview',",1021,938
"'clear',",1017,793
"'around',",1016,464
"'percent',",1009,2503
"'real',",1006,346
"'cnn',",1004,299
"'away',",1003,360
"'great',",1000,515
"'power',",999,1015
"'health',",994,1193
"'novemb',",993,403
"'place',",992,676
"'follow',",992,903
"'fbi',",984,1161
"'might',",983,607
"'done',",978,460
"'complet',",978,397
"'court',",970,2858
"'howev',",968,497
"'member',",965,1562
"'appear',",962,761
"'bad',",960,194
"'major',",959,1849
"'matter',",959,677
"'congress',",958,2917
"'accus',",956,876
"'month',",956,1941
"'someon',",955,127
"'yet',",953,555
"'stand',",953,371
"'putin',",949,558
"'money',",947,722
"'spicer',",945,315
"'long',",943,619
"'refus',",937,332
"'hand',",931,385
"'protest',",930,397
"'face',",924,971
"'name',",919,657
"'polici',",918,2083
"'releas',",917,838
"'war',",914,609
"'commun',",912,955
"'without',",911,966
"'conway',",910,54
"'everyon',",909,121
"'poll',",908,356
"'york',",908,1252
"'team',",908,620
"'problem',",906,422
"'candid',",905,777
"'hope',",900,885
"'june',",897,488
"'deal',",895,1873
"'number',",894,777
"'forc',",887,1086
"'night',",882,215
"'wall',",881,769
"'find',",881,525
"'enough',",880,455
"'group',",877,2385
"'recent',",877,850
"'today',",877,353
"'least',",876,557
"'instead',",874,313
"'ban',",868,1389
"'littl',",863,463
"'allow',",859,1331
"'anyon',",858,179
"'ad',",855,1465
"'muslim',",843,327
"'better',",843,400
"'critic',",842,1532
"'decid',",842,539
"'possibl',",842,1175
"'octob',",839,217
"'case',",835,1205
"'becom',",833,585
"'big',",829,559
"'defend',",828,490
"'secretari',",818,1725
"'washington',",811,4999
"'mr',",810,180
"'kill',",802,449
"'speak',",799,627
"'compani',",798,1857
"'lose',",793,375
"'feder',",788,2880
"'guy',",788,78
"'posit',",784,715
"'speech',",782,422
"'histori',",781,233
"'flynn',",778,869
"'sourc',",777,1159
"'next',",776,1333
"'appar',",776,79
"'move',",775,1370
"'thought',",773,228
"'absolut',",770,130
"'love',",769,137
"'feel',",768,240
"'interest',",768,997
"'immigr',",767,1538
"'depart',",764,2588
"'host',",763,230
"'foreign',",761,1923
"'john',",760,734
"'idea',",759,321
"'nomine',",758,462
"'probabl',",755,190
"'morn',",754,198
"'entir',",753,182
"'must',",750,693
"'came',",747,561
"'consid',",747,938
"'protect',",746,1278
"'comment',",745,1629
"'best',",744,280
"'woman',",743,137
"'session',",743,912
"'sexual',",739,384
"'sign',",736,1014
"'juli',",726,512
"'penc',",724,463
"'healthcar',",723,1742
"'fail',",722,751
"'record',",722,514
"'polic',",721,381
"'evid',",720,430
"'septemb',",718,330
"'effort',",715,1507
"'director',",711,1461
"'august',",709,279
"'action',",708,1097
"'read',",703,141
"'whether',",701,1782
"'committe',",700,3146
"'sean',",699,173
"'execut',",698,1219
"'email',",696,726
"'respond',",693,776
"'three',",691,918
"'ryan',",689,705
"'liter',",688,12
"'everyth',",686,104
"'hear',",685,979
"'hold',",684,758
"'children',",683,449
"'pretti',",683,93
"'rate',",680,1315
"'school',",680,481
"'attempt',",677,404
"'play',",674,399
"'hard',",670,318
"'current',",669,1029
"'kind',",668,227
"'prove',",666,112
"'despit',",664,463
"'rather',",664,268
"'ralli',",662,304
"'sever',",661,979
"'explain',",660,127
"'justic',",657,1361
"'especi',",656,208
"'inaugur',",656,125
"'total',",652,316
"'citi',",650,883
"'decis',",650,1416
"'true',",649,124
"'wrong',",648,149
"'alleg',",648,1187
"'april',",647,475
"'threat',",644,538
"'account',",643,708
"'left',",640,463
"'confirm',",640,1061
"'attorney',",638,1275
"'screen',",637,57
"'messag',",637,426
"'head',",635,764
"'blame',",634,290
"'exactli',",631,63
"'promis',",629,764
"'seen',",629,562
"'full',",628,431
"'friend',",627,178
"'line',",626,437
"'obamacar',",625,1580
"'admit',",623,98
"'close',",622,960
"'differ',",619,543
"'debat',",618,462
"'final',",617,575
"'caus',",613,412
"'cover',",613,341
"'found',",612,455
"'life',",612,156
"'lost',",612,261
"'answer',",612,267
"'abl',",608,402
"'pass',",608,1595
"'import',",605,864
"'joe',",604,122
"'concern',",603,1211
"'wors',",602,55
"'realiti',",602,89
"'danger',",601,179
"'agenc',",599,2067
"'bannon',",596,364
"'leav',",595,619
"'open',",593,828
"'photo',",591,82
"'hack',",591,288
"'ignor',",590,114
"'clearli',",589,109
"'result',",588,423
"'rule',",586,2271
"'fight',",585,728
"'charg',",585,740
"'thank',",583,147
"'assault',",578,128
"'mike',",578,438
"'serv',",578,747
"'north',",577,2160
"'threaten',",575,389
"'truth',",574,77
"'set',",574,942
"'letter',",571,861
"'receiv',",570,555
"'scandal',",568,99
"'control',",562,907
"'free',",557,416
"'less',",557,461
"'militari',",557,1284
"'creat',",556,749
"'wrote',",556,615
"'expect',",554,1533
"'manag',",554,644
"'rep',",554,21
"'legal',",553,1051
"'cut',",551,1931
"'insur',",551,1454
"'organ',",548,559
"'supremacist',",546,93
"'judg',",544,892
"'base',",543,572
"'lead',",542,897
"'understand',",542,239
"'taken',",540,403
"'popular',",539,206
"'leak',",536,262
"'given',",536,407
"'fund',",536,1887
"'human',",536,454
"'els',",535,104
"'whole',",535,94
"'mark',",533,438
"'paul',",532,677
"'crime',",532,316
"'announc',",530,992
"'alway',",527,160
"'remark',",524,378
"'gun',",524,200
"'top',",522,1467
"'known',",522,655
"'respect',",521,264
"'note',",518,455
"'gave',",516,253
"'advis',",516,1183
"'behind',",515,298
"'demand',",514,405
"'ago',",513,326
"'social',",513,394
"'provid',",513,1308
"'staff',",512,689
"'bring',",511,462
"'return',",510,545
"'servic',",509,1147
"'almost',",508,197
"'crowd',",508,112
"'ivanka',",506,76
"'build',",506,480
"'destroy',",506,121
"'drop',",505,333
"'men',",504,214
"'detail',",503,551
"'suggest',",503,539
"'illeg',",502,583
"'side',",502,513
"'friday',",502,1671
"'agre',",501,791
"'monday',",500,1523
"'f',",499,12
"'repres',",498,2862
"'across',",497,296
"'death',",494,178
"'refer',",491,450
"'approv',",491,1114
"'reveal',",491,121
"'victim',",490,151
"'jame',",489,467
"'civil',",489,393
"'repeal',",488,1125
"'other',",487,524
"'four',",486,518
"'began',",486,249
"'offer',",485,708
"'program',",484,1791
"'afford',",484,483
"'discuss',",483,1169
"'constitut',",482,383
"'commit',",481,591
"'elector',",479,101
"'either',",479,248
"'event',",478,417
"'goe',",476,111
"'die',",476,150
"'repeatedli',",475,308
"'list',",475,453
"'past',",472,480
"'king',",470,105
"'home',",469,545
"'tie',",468,770
"'star',",467,69
"'view',",466,561
"'system',",465,793
"'mayb',",464,80
"'room',",463,164
"'insult',",462,43
"'nt',",462,44
"'involv',",461,601
"'warn',",461,501
"'pick',",460,276
"'saturday',",460,421
"'term',",459,593
"'golf',",456,70
"'special',",456,1008
"'treat',",454,120
"'regard',",454,184
"'jr',",451,352
"'citizen',",451,322
"'lawyer',",449,972
"'simpli',",448,164
"'wonder',",448,64
"'brief',",448,593
"'break',",448,333
"'behavior',",447,116
"'rest',",446,118
"'father',",444,137
"'send',",444,369
"'conspiraci',",444,58
"'among',",443,777
"'push',",442,772
"'embarrass',",440,76
"'michael',",440,403
"'violenc',",439,265
"'stupid',",439,9
"'tuesday',",439,2005
"'thursday',",438,2064
"'defens',",437,931
"'along',",436,388
"'mccain',",436,379
"'cost',",435,762
"'learn',",432,134
"'impeach',",432,94
"'apolog',",432,135
"'univers',",431,472
"'definit',",431,90
"'moment',",431,108
"'begin',",431,438
"'hell',",429,27
"'visit',",428,853
"'surpris',",427,184
"'steve',",427,230
"'later',",426,709
"'mexico',",426,643
"'spend',",426,1122
"'toward',",425,442
"'wait',",423,165
"'privat',",423,738
"'target',",422,649
"'brag',",422,14
"'share',",420,520
"'second',",420,365
"'save',",419,241
"'quit',",419,151
"'mind',",419,110
"'chip',",419,41
"'replac',",419,793
"'sit',",418,135
"'step',",417,841
"'climat',",417,653
"'high',",414,429
"'employe',",412,352
"'singl',",410,182
"'accept',",410,301
"'remov',",409,411
"'alex',",408,33
"'seriou',",408,230
"'certainli',",406,141
"'serious',",406,79
