Word,Frequency
"'said',",22084
"'trump',",21147
"'us',",14331
"'presid',",9559
"'would',",9038
"'republican',",8989
"'hous',",8580
"'state',",8535
"'senat',",8008
"'tax',",6331
"'reuter',",6198
"'democrat',",5860
"'washington',",4999
"'bill',",4528
"'white',",4491
"'year',",4173
"'say',",4111
"'new',",3985
"'donald',",3926
"'administr',",3915
"'offici',",3871
"'also',",3843
"'unit',",3734
"'report',",3652
"'could',",3622
"'govern',",3476
"'told',",3273
"'plan',",3271
"'elect',",3201
"'russia',",3192
"'includ',",3174
"'committe',",3146
"'campaign',",3106
"'vote',",2970
"'former',",2930
"'congress',",2917
"'feder',",2880
"'repres',",2862
"'court',",2858
"'nation',",2846
"'law',",2811
"'last',",2808
"'peopl',",2785
"'one',",2723
"'investig',",2677
"'legisl',",2671
"'work',",2662
"'meet',",2644
"'week',",2602
"'depart',",2588
"'call',",2563
"'percent',",2503
"'support',",2489
"'secur',",2452
"'russian',",2415
"'group',",2385
"'two',",2373
"'american',",2356
"'leader',",2347
"'offic',",2309
"'time',",2295
"'rule',",2271
"'issu',",2260
"'make',",2243
"'countri',",2240
"'statement',",2179
"'north',",2160
"'first',",2121
"'polici',",2083
"'agenc',",2067
"'thursday',",2064
"'tuesday',",2005
"'use',",1990
"'go',",1979
"'wednesday',",1941
"'month',",1941
"'cut',",1931
"'foreign',",1923
"'trade',",1917
"'gener',",1891
"'fund',",1887
"'like',",1886
"'lawmak',",1880
"'deal',",1873
"'compani',",1857
"'obama',",1854
"'take',",1854
"'major',",1849
"'need',",1836
"'may',",1833
"'chang',",1811
"'ask',",1804
"'want',",1800
"'program',",1791
"'whether',",1782
"'help',",1781
"'korea',",1766
"'propos',",1761
"'healthcar',",1742
"'order',",1737
"'back',",1725
"'secretari',",1725
"'polit',",1718
"'budget',",1694
"'busi',",1682
"'friday',",1671
"'accord',",1662
"'get',",1662
"'china',",1652
"'comment',",1629
"'million',",1625
"'pass',",1595
"'obamacar',",1580
"'day',",1570
"'member',",1562
"'intellig',",1539
"'immigr',",1538
"'expect',",1533
"'critic',",1532
"'monday',",1523
"'effort',",1507
"'made',",1500
"'sinc',",1468
"'top',",1467
"'ad',",1465
"'reform',",1464
"'billion',",1463
"'director',",1461
"'insur',",1454
"'end',",1450
"'mani',",1432
"'decis',",1416
"'act',",1409
"'public',",1403
"'parti',",1397
"'news',",1391
"'ban',",1389
"'presidenti',",1387
"'congression',",1384
"'move',",1370
"'part',",1361
"'justic',",1361
"'comey',",1339
"'next',",1333
"'allow',",1331
"'rate',",1315
"'sanction',",1313
"'provid',",1308
"'think',",1299
"'militari',",1284
"'protect',",1278
"'attorney',",1275
"'talk',",1265
"'aid',",1258
"'right',",1258
"'come',",1253
"'york',",1252
"'way',",1239
"'requir',",1237
"'execut',",1219
"'concern',",1211
"'conserv',",1209
"'case',",1205
"'question',",1198
"'health',",1193
"'alleg',",1187
"'advis',",1183
"'possibl',",1175
"'chief',",1173
"'request',",1171
"'measur',",1170
"'discuss',",1169
"'fbi',",1161
"'sourc',",1159
"'inform',",1158
"'servic',",1147
"'repeal',",1125
"'bank',",1125
"'spend',",1122
"'approv',",1114
"'tillerson',",1111
"'review',",1099
"'action',",1097
"'even',",1094
"'tri',",1093
"'financi',",1092
"'forc',",1086
"'senior',",1070
"'job',",1069
"'deni',",1069
"'nuclear',",1064
"['trump',",1062
"'travel',",1062
"'confirm',",1061
"'legal',",1051
"'attack',",1040
"'probe',",1039
"'econom',",1033
"'current',",1029
"'seek',",1027
"'still',",1025
"'continu',",1025
"'power',",1015
"'sign',",1014
"'see',",1010
"'earlier',",1008
"'special',",1008
"'governor',",1004
"'market',",1003
"'chairman',",1001
"'rais',",1001
"'agreement',",1001
"'interest',",997
"'look',",997
"'regul',",996
"'twitter',",992
"'announc',",992
"'hear',",979
"'sever',",979
"'show',",975
"'lawyer',",972
"'face',",971
"'post',",970
"'increas',",969
"'moscow',",968
"'without',",966
"'close',",960
"'well',",957
"'fire',",957
"'commun',",955
"'set',",942
"'consid',",938
"'interview',",938
"'panel',",936
"'barack',",932
"'defens',",931
"'corpor',",927
"'three',",918
"'industri',",913
"'session',",912
"'control',",907
"'put',",906
"'relat',",904
"'follow',",903
"'lead',",897
"'judg',",892
"'hope',",885
"'citi',",883
"'iran',",879
"'media',",877
"'accus',",876
"'respons',",873
"'clinton',",870
"'flynn',",869
"'import',",864
"'intern',",861
"'letter',",861
"'visit',",853
"'recent',",850
"'give',",842
"'step',",841
"'releas',",838
"'anoth',",835
"'mueller',",832
"'spokesman',",832
"'much',",830
"'declin',",828
"'open',",828
"'author',",812
"'associ',",807
"'took',",805
"'limit',",797
"'system',",793
"'replac',",793
"'clear',",793
"'agre',",791
"'individu',",788
"'counsel',",788
"'minist',",784
"'world',",782
"'pay',",778
"'among',",777
"'candid',",777
"'number',",777
"'respond',",776
"'challeng',",774
"'push',",772
"'believ',",770
"'tie',",770
"'process',",770
"'wall',",769
"'promis',",764
"'head',",764
"'cost',",762
"'appear',",761
"'hold',",758
"'keep',",754
"'person',",753
"'negoti',",751
"'fail',",751
"'creat',",749
"'debt',",748
"'serv',",747
"'remain',",745
"'charg',",740
"'privat',",738
"'john',",734
"'potenti',",731
"'win',",730
"'fight',",728
"'missil',",727
"'mcconnel',",727
"'email',",726
"'file',",724
"'money',",722
"'energi',",718
"'suprem',",716
"'posit',",715
"'urg',",714
"'firm',",710
"'good',",710
"'block',",709
"'immedi',",709
"'run',",709
"'later',",709
"'voter',",709
"'account',",708
"'offer',",708
"'tweet',",706
"'ryan',",705
"'alreadi',",704
"'alli',",701
"'inc',",697
"'must',",693
"'diplomat',",691
"'staff',",689
"'know',",682
"'oppos',",679
"'effect',",678
"'matter',",677
"'paul',",677
"'place',",676
"'syria',",673
